module,global_tick,local_tick,seconds,bar,beat,chord_voice,original_note,played_note,transposed,instrument,support_block,right_clicks,velocity,source_tick,track,channel
1,29,29,2.861,2,2.8,1,D4,D4,no,Harp/Piano,泥土,8,57,2197,1,1
1,31,31,3.095,2,3.2,1,D3,D3,no,Double Bass,橡木木板,20,43,2377,1,1
1,31,31,3.103,2,3.2,2,F#3,F#3,no,Harp/Piano,泥土,0,46,2383,1,1
1,31,31,3.095,2,3.2,3,A3,A3,no,Harp/Piano,泥土,3,52,2377,1,1
1,31,31,3.096,2,3.2,4,E4,E4,no,Harp/Piano,泥土,10,63,2378,1,1
1,35,35,3.503,2,4.0,1,D4,D4,no,Harp/Piano,泥土,8,54,2690,1,1
1,37,37,3.706,2,4.4,1,E4,E4,no,Harp/Piano,泥土,10,66,2846,1,1
1,39,39,3.906,2,4.8,1,F#3,F#3,no,Harp/Piano,泥土,0,47,3000,1,1
1,39,39,3.911,2,4.8,2,A3,A3,no,Harp/Piano,泥土,3,45,3004,1,1
1,41,41,4.113,3,1.2,1,D4,D4,no,Harp/Piano,泥土,8,59,3159,1,1
1,45,45,4.522,3,2.0,1,E4,E4,no,Harp/Piano,泥土,10,67,3473,1,1
1,47,47,4.729,3,2.4,1,F#3,F#3,no,Harp/Piano,泥土,0,51,3632,1,1
1,47,47,4.734,3,2.4,2,A3,A3,no,Harp/Piano,泥土,3,45,3636,1,1
1,49,49,4.943,3,2.8,1,D4,D4,no,Harp/Piano,泥土,8,58,3796,1,1
1,53,53,5.345,3,3.6,1,E4,E4,no,Harp/Piano,泥土,10,60,4105,1,1
1,56,56,5.556,3,4.2,1,F#3,F#3,no,Harp/Piano,泥土,0,49,4267,1,1
1,56,56,5.555,3,4.2,2,A3,A3,no,Harp/Piano,泥土,3,51,4266,1,1
1,58,58,5.768,3,4.6,1,D4,D4,no,Harp/Piano,泥土,8,66,4430,1,1
1,62,62,6.161,4,1.4,1,D4,D4,no,Harp/Piano,泥土,8,66,4732,1,1
1,64,64,6.376,4,1.8,1,D3,D3,no,Double Bass,橡木木板,20,49,4897,1,1
1,64,64,6.387,4,1.8,2,A3,A3,no,Harp/Piano,泥土,3,45,4905,1,1
1,64,64,6.396,4,1.8,3,C#4,C#4,no,Harp/Piano,泥土,7,49,4912,1,1
1,64,64,6.383,4,1.8,4,E4,E4,no,Harp/Piano,泥土,10,72,4902,1,1
1,72,72,7.217,4,3.4,1,A3,A3,no,Harp/Piano,泥土,3,51,5543,1,1
1,72,72,7.216,4,3.4,2,C#4,C#4,no,Harp/Piano,泥土,7,53,5542,1,1
1,74,74,7.424,4,3.8,1,D4,D4,no,Harp/Piano,泥土,8,57,5702,1,1
1,76,76,7.622,4,4.2,1,C#4,C#4,no,Harp/Piano,泥土,7,67,5854,1,1
1,78,78,7.840,4,4.6,1,A3,A3,no,Harp/Piano,泥土,3,65,6021,1,1
1,85,85,8.484,5,2.0,1,D3,D3,no,Double Bass,橡木木板,20,51,6516,1,1
1,89,89,8.909,5,2.8,1,A3,A3,no,Harp/Piano,泥土,3,50,6842,1,1
1,89,89,8.904,5,2.8,2,C#4,C#4,no,Harp/Piano,泥土,7,59,6838,1,1
1,95,95,9.533,5,4.0,1,A3,A3,no,Harp/Piano,泥土,3,72,7321,1,1
1,96,96,9.574,5,4.2,1,D3,D3,no,Double Bass,橡木木板,20,31,7353,1,1
1,97,97,9.745,5,4.4,1,F#4,F#4,no,Harp/Piano,泥土,12,74,7484,1,1
1,98,98,9.784,5,4.6,1,D3,D3,no,Double Bass,橡木木板,20,47,7514,1,1
1,98,98,9.775,5,4.6,2,A3,A3,no,Harp/Piano,泥土,3,49,7507,1,1
1,98,98,9.775,5,4.6,3,C4,C4,no,Harp/Piano,泥土,6,57,7507,1,1
1,102,102,10.160,6,1.4,1,E4,E4,no,Harp/Piano,泥土,10,72,7803,1,1
1,103,103,10.341,6,1.6,1,F#4,F#4,no,Harp/Piano,泥土,12,69,7942,1,1
1,105,105,10.544,6,2.0,1,A3,A3,no,Harp/Piano,泥土,3,61,8098,1,1
1,106,106,10.565,6,2.2,1,C4,C4,no,Harp/Piano,泥土,6,57,8114,1,1
1,108,108,10.767,6,2.6,1,E4,E4,no,Harp/Piano,泥土,10,78,8269,1,1
1,112,112,11.167,6,3.4,1,F#4,F#4,no,Harp/Piano,泥土,12,79,8576,1,1
1,114,114,11.350,6,3.8,1,D#3,D#3,no,Double Bass,橡木木板,21,57,8717,1,1
1,114,114,11.367,6,3.8,2,A3,A3,no,Harp/Piano,泥土,3,55,8730,1,1
1,114,114,11.353,6,3.8,3,B3,B3,no,Harp/Piano,泥土,5,63,8719,1,1
1,116,116,11.576,6,4.2,1,G4,G4,no,Harp/Piano,泥土,13,76,8890,1,1
1,120,120,11.984,7,1.0,1,F#4,F#4,no,Harp/Piano,泥土,12,74,9204,1,1
1,122,122,12.176,7,1.4,1,A3,A3,no,Harp/Piano,泥土,3,57,9351,1,1
1,122,122,12.174,7,1.4,2,B3,B3,no,Harp/Piano,泥土,5,60,9350,1,1
1,124,124,12.405,7,1.8,1,F#4,F#4,no,Harp/Piano,泥土,12,66,9527,1,1
1,128,128,12.786,7,2.6,1,A4,A4,no,Harp/Piano,泥土,15,75,9820,1,1
1,130,130,13.014,7,3.0,1,E3,E3,no,Double Bass,橡木木板,22,51,9995,1,1
1,130,130,13.007,7,3.0,2,B3,B3,no,Harp/Piano,泥土,5,51,9989,1,1
1,130,130,13.014,7,3.0,3,D4,D4,no,Harp/Piano,泥土,8,53,9995,1,1
1,130,130,13.004,7,3.0,4,F#4,F#4,no,Harp/Piano,泥土,12,76,9987,1,1
1,138,138,13.833,7,4.6,1,B3,B3,no,Harp/Piano,泥土,5,45,10624,1,1
1,139,139,13.855,7,4.8,1,D4,D4,no,Harp/Piano,泥土,8,46,10641,1,1
1,141,141,14.053,8,1.2,1,E4,E4,no,Harp/Piano,泥土,10,62,10793,1,1
1,142,142,14.250,8,1.4,1,E4,E4,no,Harp/Piano,泥土,10,69,10944,1,1
1,145,145,14.469,8,2.0,1,D4,D4,no,Harp/Piano,泥土,8,61,11112,1,1
1,151,151,15.116,8,3.2,1,E3,E3,no,Double Bass,橡木木板,22,50,11609,1,1
1,155,155,15.536,8,4.0,1,B3,B3,no,Harp/Piano,泥土,5,43,11932,1,1
1,155,155,15.531,8,4.0,2,D4,D4,no,Harp/Piano,泥土,8,40,11928,1,1
1,159,159,15.945,8,4.8,1,F#4,F#4,no,Harp/Piano,泥土,12,68,12246,1,1
1,161,161,16.134,9,1.2,1,G4,G4,no,Harp/Piano,泥土,13,75,12391,1,1
1,164,164,16.362,9,1.8,1,G3,G3,no,Harp/Piano,泥土,1,46,12566,1,1
1,164,164,16.363,9,1.8,2,A#3,A#3,no,Harp/Piano,泥土,4,51,12567,1,1
1,164,164,16.375,9,1.8,3,D4,D4,no,Harp/Piano,泥土,8,36,12576,1,1
1,164,164,16.365,9,1.8,4,E4,E4,no,Harp/Piano,泥土,10,51,12568,1,1
1,164,164,16.355,9,1.8,5,A4,A4,no,Harp/Piano,泥土,15,75,12561,1,1
1,167,167,16.736,9,2.4,1,A4,A4,no,Harp/Piano,泥土,15,70,12853,1,1
1,170,170,16.953,9,3.0,1,A4,A4,no,Harp/Piano,泥土,15,60,13020,1,1
1,172,172,17.163,9,3.4,1,A#3,A#3,no,Harp/Piano,泥土,4,51,13181,1,1
1,172,172,17.163,9,3.4,2,D4,D4,no,Harp/Piano,泥土,8,41,13181,1,1
1,174,174,17.355,9,3.8,1,A4,A4,no,Harp/Piano,泥土,15,69,13329,1,1
1,178,178,17.779,9,4.6,1,A4,A4,no,Harp/Piano,泥土,15,63,13654,1,1
1,180,180,17.969,10,1.0,1,A#3,A#3,no,Harp/Piano,泥土,4,40,13800,1,1
1,180,180,17.974,10,1.0,2,D4,D4,no,Harp/Piano,泥土,8,36,13804,1,1
1,188,188,18.835,10,2.6,1,A#3,A#3,no,Harp/Piano,泥土,4,39,14465,1,1
1,188,188,18.831,10,2.6,2,D4,D4,no,Harp/Piano,泥土,8,41,14462,1,1
1,193,193,19.263,10,3.6,1,A4,A4,no,Harp/Piano,泥土,15,76,14794,1,1
1,197,197,19.690,10,4.4,1,F#3,F#3,no,Harp/Piano,泥土,0,50,15122,1,1
1,197,197,19.686,10,4.4,2,A3,A3,no,Harp/Piano,泥土,3,50,15119,1,1
1,197,197,19.684,10,4.4,3,D4,D4,no,Harp/Piano,泥土,8,46,15117,1,1
1,197,197,19.660,10,4.4,4,A4,A4,no,Harp/Piano,泥土,15,74,15099,1,1
1,201,201,20.068,11,1.2,1,B4,B4,no,Harp/Piano,泥土,17,65,15412,1,1
1,203,203,20.276,11,1.6,1,G4,G4,no,Harp/Piano,泥土,13,74,15572,1,1
1,205,205,20.461,11,2.0,1,A3,A3,no,Harp/Piano,泥土,3,48,15714,1,1
1,205,205,20.464,11,2.0,2,D4,D4,no,Harp/Piano,泥土,8,50,15716,1,1
1,207,207,20.671,11,2.4,1,F#4,F#4,no,Harp/Piano,泥土,12,68,15875,1,1
1,211,211,21.082,11,3.2,1,F#4,F#4,no,Harp/Piano,泥土,12,65,16191,1,1
1,213,213,21.293,11,3.6,1,B1,B1,no,Double Bass,橡木木板,5,40,16353,1,1
1,213,213,21.294,11,3.6,2,B2,B2,no,Double Bass,橡木木板,17,41,16354,1,1
1,213,213,21.299,11,3.6,3,F#3,F#3,no,Harp/Piano,泥土,0,41,16358,1,1
1,213,213,21.292,11,3.6,4,A3,A3,no,Harp/Piano,泥土,3,48,16352,1,1
1,213,213,21.290,11,3.6,5,D4,D4,no,Harp/Piano,泥土,8,54,16351,1,1
1,221,221,22.141,12,1.2,1,A3,A3,no,Harp/Piano,泥土,3,45,17004,1,1
1,222,222,22.155,12,1.4,1,F#3,F#3,no,Harp/Piano,泥土,0,39,17015,1,1
1,228,228,22.767,12,2.6,1,F#4,F#4,no,Harp/Piano,泥土,12,60,17485,1,1
1,229,229,22.852,12,2.8,1,G4,G4,no,Harp/Piano,泥土,13,72,17550,1,1
1,230,230,22.995,12,3.0,1,E3,E3,no,Double Bass,橡木木板,22,56,17660,1,1
1,230,230,22.999,12,3.0,2,G3,G3,no,Harp/Piano,泥土,1,50,17663,1,1
